AdobeStock_122078677	building/aerial-golden	2800
AdobeStock_482724545	building/aerial-bay	2800
pyramidcafe	building/lobby-coffee	2800
LobbyCoffeeBar_DouglasFriedman	building/lobby-desk	2800
3103_FP918370	building/colonnade	2800
SHVO_TAP_105	building/lobby-lounge	2800
003__A1C1484	building/history-gallery	2800
TaraDonovanStratagems_NicholasLeaBruno_SP26-1	building/art-stratagems	2800
SHVO_MAP_10	building/site-map	1800
3103_FP918365	venues/bay-lounge-day	2800
3103_FP918387	venues/bay-lounge-dusk	2800
stg-bq0ykovrneinzm8oghro	venues/bay-lounge-coit	2500
stg-exa1mok3ze8cxeejnrmg	venues/bay-lounge-round	2500
stg-lkqba1ugvfikkawo2t9z	venues/bay-lounge-bar	2500
SHVO_TAP_217	venues/bay-lounge-sofas	2800
SkyLounge2_DouglasFriedman	venues/sky-lounge	2800
SHVO_TAP_529	venues/club-bar	2800
SHVO_TAP_279	venues/redwood-fountain	2800
KioskSunshineView1	venues/redwood-kiosk	2800
LilyKwong_EARTHSEEDDOME	venues/redwood-sky	2800
SHVO_TAP_268	venues/redwood-plaza	2800
SHVO_TAP_387	venues/redwood-path	2800
SHVO_TAP_239	spaces/boardroom-real	2800
FitnessCenterEntry_DouglasFriedman	fitness/gym	2800
